Mother_Age,Female_Population,Male_Births,Female_Births
15 to 19,577,14,4
20 to 24,508,38,30
25 to 29,523,37,27
30 to 34,579,22,32
35 to 39,607,11,18
40 to 44,640,6,3
45 to 49,718,0,0
